category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y,player_id,player_name,position_raw,position,event_id,home_team,away_team,match_date
passes,pass,True,True,False,,21.6,49.0,42.9,72.9,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,False,False,,20.3,51.4,53.5,79.0,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,7.4,47.2,23.1,55.8,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,8.5,67.2,12.3,94.5,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,16.5,47.2,22.4,33.7,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,21.9,43.8,26.2,67.9,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,7.2,30.4,31.0,3.3,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,7.4,49.2,14.0,48.4,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,8.7,51.7,13.8,72.7,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,15.6,55.8,20.2,82.9,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,11.0,52.3,14.9,31.6,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,False,False,,7.6,40.2,40.4,39.4,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,25.4,48.3,41.4,16.2,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,13.9,54.9,16.0,73.9,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,False,False,,11.6,50.8,58.5,42.0,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,False,False,,9.4,44.7,40.6,78.1,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,21.6,73.3,29.2,82.0,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,21.7,51.9,29.7,49.3,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,21.7,54.6,28.9,81.3,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,14.7,43.8,21.6,86.2,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,False,False,,18.5,46.9,54.1,4.9,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,False,False,,14.8,49.8,59.2,53.4,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,False,False,,13.3,46.6,57.6,81.4,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,14.0,62.7,23.3,90.1,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,22.5,53.8,67.3,98.2,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,19.1,51.3,56.4,97.2,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,5.2,44.7,25.2,61.6,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,15.9,43.9,72.6,27.3,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,12.7,47.7,19.7,71.8,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,False,False,,12.6,58.5,52.1,87.0,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,14.2,63.3,54.9,12.1,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,4.7,51.3,5.3,61.1,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,33.5,46.0,68.5,97.0,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,25.5,45.6,79.2,96.9,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,30.3,68.5,68.6,97.8,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,41.5,12.6,30.3,39.6,822729,Alan Franco,D,CB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,41.9,8.8,47.1,2.8,822729,Alan Franco,D,CB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,55.8,18.5,53.4,32.3,822729,Alan Franco,D,CB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,28.5,6.9,36.8,4.3,822729,Alan Franco,D,CB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
passes,pass,True,True,False,,61.6,48.0,52.6,42.6,822729,Alan Franco,D,CB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
