category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y,player_id,player_name,position_raw,position,event_id,home_team,away_team,match_date
ball-carries,ball-carry,True,False,False,,9.3,47.6,13.2,49.7,329081,Helton Leite,G,GK,15525994,Vila Nova FC,Clube De Regatas Brasil,2026-03-21T20:00:00+00:00
ball-carries,ball-carry,True,False,False,,11.0,51.2,14.1,75.0,329081,Helton Leite,G,GK,15525994,Vila Nova FC,Clube De Regatas Brasil,2026-03-21T20:00:00+00:00
ball-carries,ball-carry,True,False,False,,12.5,44.0,13.0,37.7,329081,Helton Leite,G,GK,15525994,Vila Nova FC,Clube De Regatas Brasil,2026-03-21T20:00:00+00:00
ball-carries,ball-carry,True,False,False,,40.8,6.6,62.1,4.3,807767,Hayner,D,LWB,15525994,Vila Nova FC,Clube De Regatas Brasil,2026-03-21T20:00:00+00:00
ball-carries,ball-carry,True,False,False,,63.8,18.5,73.8,8.8,807767,Hayner,D,LWB,15525994,Vila Nova FC,Clube De Regatas Brasil,2026-03-21T20:00:00+00:00
ball-carries,ball-carry,True,False,False,,30.5,26.9,43.1,30.8,807767,Hayner,D,LWB,15525994,Vila Nova FC,Clube De Regatas Brasil,2026-03-21T20:00:00+00:00
ball-carries,ball-carry,True,False,False,,52.8,20.1,61.8,18.1,807767,Hayner,D,LWB,15525994,Vila Nova FC,Clube De Regatas Brasil,2026-03-21T20:00:00+00:00
ball-carries,ball-carry,True,False,False,,41.5,18.9,60.9,9.9,807767,Hayner,D,LWB,15525994,Vila Nova FC,Clube De Regatas Brasil,2026-03-21T20:00:00+00:00
ball-carries,ball-carry,True,False,False,,32.7,33.2,41.8,29.5,1417920,Pedro Romano,D,LCB,15525994,Vila Nova FC,Clube De Regatas Brasil,2026-03-21T20:00:00+00:00
ball-carries,ball-carry,True,False,False,,10.1,14.1,13.1,18.2,1417920,Pedro Romano,D,LCB,15525994,Vila Nova FC,Clube De Regatas Brasil,2026-03-21T20:00:00+00:00
