category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y,player_id,player_name,position_raw,position,event_id,home_team,away_team,match_date
ball-carries,ball-carry,True,False,False,,13.5,57.4,21.6,49.0,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,3.9,48.4,7.4,49.2,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,10.0,54.6,15.6,55.8,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,5.2,54.1,11.0,52.3,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,6.0,36.4,7.6,40.2,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,13.2,46.3,25.4,48.3,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,3.6,51.0,13.9,54.9,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,5.8,25.9,9.4,44.7,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,7.9,53.2,18.5,46.9,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,7.0,54.3,14.8,49.8,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,14.5,63.9,22.5,53.8,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,15.7,49.8,19.1,51.3,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,3.7,47.8,11.3,48.3,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,11.4,54.4,12.6,58.5,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,27.4,39.1,33.5,46.0,870748,Everson,G,GK,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,54.5,17.2,58.1,15.1,822729,Alan Franco,D,LB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,25.3,27.6,29.3,33.3,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,7.7,32.8,8.8,28.6,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,14.9,31.6,17.4,18.6,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,41.4,16.2,59.7,12.1,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,45.1,34.8,48.9,33.7,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,37.6,52.3,40.1,59.5,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,51.5,55.6,55.2,59.7,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,48.4,59.4,51.6,44.4,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,45.8,43.6,42.6,31.6,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,28.6,26.2,37.8,29.4,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,31.1,13.9,33.0,21.4,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,46.5,63.7,53.9,52.6,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,39.4,61.6,47.0,43.0,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,48.3,44.8,46.1,31.2,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,46.6,36.0,42.7,41.4,914487,Ruan,D,LCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,38.0,63.7,38.7,55.6,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,26.2,67.9,30.0,72.4,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,13.8,72.7,20.6,82.8,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,20.2,82.9,28.8,86.1,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,51.8,71.1,53.2,67.0,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,28.3,82.8,32.1,87.3,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,47.0,66.0,54.2,81.9,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,44.8,64.9,52.3,68.4,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,16.0,73.9,46.7,95.5,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,55.7,58.2,60.8,58.3,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,29.2,82.0,28.3,71.2,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,34.0,53.4,37.0,58.6,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,38.1,49.2,39.6,59.2,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,41.0,66.1,38.1,61.3,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,23.3,90.1,32.5,92.5,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,47.1,26.7,61.5,37.3,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,40.7,83.8,46.5,85.6,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,40.4,89.3,45.0,89.5,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,23.7,41.1,26.1,43.6,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,38.8,78.3,41.8,80.7,333275,Junior Alonso,D,RCB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,59.2,79.0,58.1,74.8,851150,Renan Lodi,D,RB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,43.5,92.7,36.3,91.9,851150,Renan Lodi,D,RB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,39.4,87.4,44.3,82.0,851150,Renan Lodi,D,RB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,21.5,69.4,23.3,80.7,851150,Renan Lodi,D,RB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
ball-carries,ball-carry,True,False,False,,41.5,89.4,41.0,94.9,851150,Renan Lodi,D,RB,15237889,Atlético Mineiro,Palmeiras,2026-01-28T22:00:00+00:00
